User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
3,2443469,0.05,11.64,0.00,36.06
3,2377121,0.00,11.89,0.00,36.06
2,2611438,0.02,12.85,0.00,36.06
3,2321681,0.00,11.60,0.00,36.06
2,2524271,0.04,12.11,0.00,36.06
3,2491715,0.00,12.46,0.00,36.06
2,2385049,0.00,11.93,0.00,36.06
3,2585633,0.03,12.51,0.00,36.06
2,2421090,0.05,11.52,0.00,100.00
3,2536113,0.00,12.68,0.00,100.00
3,2512301,0.04,12.07,24.06,100.00
3,2310297,0.00,11.55,24.06,100.00
3,2459317,0.00,12.30,24.06,100.00
2,2223180,0.00,11.12,0.00,0.00
2,2304688,0.00,11.52,0.00,0.00
3,2475996,0.03,12.03,0.00,5.83
3,2617933,0.00,13.09,20.16,0.00
2,2360036,0.00,11.80,20.16,0.00
3,2268459,0.07,10.58,20.16,0.00
2,2324306,0.06,10.87,0.00,100.00
2,2446767,0.09,11.17,0.00,100.00
3,2477868,0.03,12.06,0.00,100.00
3,2177185,0.00,10.89,0.00,100.00
3,2111704,0.00,10.56,0.00,100.00
2,2250004,0.00,11.25,0.00,100.00
3,2395685,0.03,11.58,0.00,100.00
2,2218805,0.00,11.09,0.00,100.00
2,2470774,0.03,12.03,0.00,100.00
3,2313311,0.02,11.33,0.00,100.00
2,2114287,0.06,9.95,0.00,100.00
2,2520351,0.00,12.60,0.00,100.00
2,2140869,0.00,10.70,0.00,100.00
3,2473454,0.00,12.37,0.00,0.00
3,2423163,0.00,12.12,0.00,100.00
3,2171740,0.04,10.43,0.00,100.00
2,2388154,0.00,11.94,0.00,100.00
2,2365273,0.00,11.83,0.00,100.00
2,2561851,0.04,12.29,0.00,100.00
2,2569052,0.00,12.85,0.00,100.00
2,2291907,0.00,11.46,0.00,100.00
3,2400081,0.01,11.86,0.00,100.00
3,2253602,0.00,11.27,0.00,100.00
2,2471423,0.01,12.19,0.00,100.00
3,2222411,0.00,11.11,0.00,100.00
2,2324285,0.00,11.62,0.00,100.00
3,2427839,0.00,12.14,0.00,100.00
2,2496711,0.00,12.48,13.01,100.00
3,2173092,0.00,10.87,13.01,100.00
2,2270673,0.00,11.35,0.00,100.00
2,2150236,0.08,9.89,0.00,100.00
2,2241936,0.06,10.55,0.00,100.00
2,2601273,0.07,12.13,0.00,0.00
3,2320880,0.00,11.60,0.00,100.00
3,2184981,0.00,10.92,0.00,100.00
2,2531835,0.05,12.08,0.00,100.00
2,2259862,0.01,11.14,0.00,100.00
3,2304718,0.00,11.52,0.00,100.00
3,2428214,0.00,12.14,0.00,100.00
2,2384261,0.03,11.53,0.00,0.00
3,2548681,0.02,12.52,0.00,100.00
3,2362865,0.08,10.89,0.00,100.00
