User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2444404,1.00,2.30,0.00,100.00
2,2521331,1.00,3.00,100.00,0.00
3,2538446,1.00,2.38,0.00,100.00
2,2156566,1.00,2.03,0.00,0.00
3,2526262,0.98,2.33,0.00,100.00
2,2332966,0.93,2.60,0.00,100.00
2,2359943,1.00,2.22,0.00,100.00
2,2142667,1.00,2.02,100.00,100.00
3,2438491,0.98,2.25,0.00,100.00
2,2569709,0.96,2.93,0.00,100.00
3,2285078,0.95,2.67,0.00,100.00
3,2232225,1.00,2.75,100.00,0.00
3,2601580,0.95,2.32,0.00,100.00
3,2322979,0.93,2.64,100.00,0.00
3,2100418,0.95,2.28,0.00,100.00
3,2292370,0.97,2.10,100.00,100.00
3,2335493,0.98,2.70,0.00,100.00
2,2542277,0.97,2.32,100.00,0.00
2,2323234,1.00,2.19,0.00,100.00
2,2476143,0.93,2.72,0.00,0.00
3,2325422,0.96,2.66,0.00,100.00
2,2316443,1.00,2.75,0.00,100.00
3,2378774,0.95,2.12,0.00,0.00
3,2119446,1.00,2.48,0.00,100.00
2,2302230,0.93,2.56,0.00,100.00
3,2411603,1.00,2.27,100.00,100.00
2,2511564,1.00,2.39,100.00,100.00
2,2450775,1.00,3.13,100.00,0.00
3,2144902,0.97,2.39,0.00,0.00
3,2581823,1.00,3.03,0.00,100.00
3,2459234,0.88,2.63,100.00,0.00
2,2331624,0.93,2.02,0.00,100.00
2,2131835,1.00,2.01,0.00,100.00
2,2438874,1.00,2.29,0.00,100.00
2,2213302,0.97,2.02,0.00,0.00
3,2521163,0.95,2.27,0.00,100.00
2,2229136,1.00,2.63,100.00,0.00
3,2461196,0.93,2.17,0.00,0.00
3,2389710,1.00,2.27,0.00,100.00
2,2231114,0.95,2.00,0.00,0.00
2,2390913,1.00,2.23,0.00,100.00
3,2528475,0.95,2.27,0.00,100.00
2,2602996,1.00,3.09,0.00,100.00
2,2530287,0.97,2.90,0.00,100.00
2,2428877,1.00,2.88,0.00,100.00
3,2218423,0.95,1.99,0.00,0.00
